No.,Title,Artist,Year,duration_sec
12,Everything Is Beautiful,Ray Stevens,1970,212.773
13,Make It with You,Bread,1970,192.2
14,Hitchin' a Ride,Vanity Fare,1970,175.095
15,ABC,The Jackson 5,1970,174.866
16,The Love You Save,The Jackson 5,1970,179.306
17,Cracklin' Rosie,Neil Diamond,1970,178.853
18,Candida,Dawn,1970,182.973
19,Thank You (Falettinme Be Mice Elf Agin),Sly & the Family Stone,1970,291.32
20,Spill the Wine,Eric Burdon & War,1970,294.8
21,O-o-h Child,Five Stairsteps,1970,197.16
22,Spirit in the Sky,Norman Greenbaum,1970,242.893
23,Lay Down (Candles in the Rain),Melanie,1970,459.96
24,Ball of Confusion (That's What the World Is Today),The Temptations,1970,246.2
25,Love on a Two-Way Street,The Moments,1970,217.066
26,Which Way You Goin' Billy?,The Poppy Family,1970,203.426
27,All Right Now,Free,1970,330.643
28,I Want You Back,The Jackson 5,1970,176.333
29,"Julie, Do Ya Love Me",Bobby Sherman,1970,172.837
30,Green-Eyed Lady,Sugarloaf,1970,219.76
31,"Signed, Sealed, Delivered I'm Yours",Stevie Wonder,1970,161
32,Ride Captain Ride,Blues Image,1970,225.56
33,Venus,Shocking Blue,1970,187.533
34,Instant Karma!,John Lennon,1970,200.653
35,Patches,Clarence Carter,1970,193.826
36,Lookin' out My Back Door,Creedence Clearwater Revival,1970,152.466
37,Rainy Night in Georgia,Brook Benton,1970,233.573
38,Something's Burning,Kenny Rogers & The First Edition,1970,242.093
39,Give Me Just a Little More Time,Chairmen of the Board,1970,162.826
40,Love Grows (Where My Rosemary Goes),Edison Lighthouse,1970,174.76
41,The Long and Winding Road,The Beatles,1970,218.186
42,Snowbird,Anne Murray,1970,134.226
43,Reflections of My Life,Marmalade,1970,251.28
44,Hey There Lonely Girl,Eddie Holman,1970,216.76
45,The Rapper,The Jaggerz,1970,162.693
46,"He Ain't Heavy, He's My Brother",The Hollies,1970,257.839
47,"Tighter, Tighter",Alive N Kickin',1970,168.853
48,Come and Get It,Badfinger,1970,143.213
49,Cecilia,Simon & Garfunkel,1970,174.826
50,Love Land,Charles Wright & the Watts 103rd Street Rhythm Band,1970,186.973
51,Turn Back the Hands of Time,Tyrone Davis,1970,178.653
52,Lola,The Kinks,1970,241.991
53,In the Summertime,Mungo Jerry,1970,211.88
54,Indiana Wants Me,R. Dean Taylor,1970,215.146
55,(I Know) I'm Losing You,Rare Earth,1970,659.146
56,"Easy Come, Easy Go",Bobby Sherman,1970,160
57,Express Yourself,Charles Wright & the Watts 103rd Street Rhythm Band,1970,233.613
58,Still Water (Love),The Four Tops,1970,194.693
59,Make Me Smile,Chicago,1970,178.933
60,The House of the Rising Sun,Frijid Pink,1970,284.346
61,25 or 6 to 4,Chicago,1970,289.8
62,My Baby Loves Lovin',White Plains,1970,157.04
63,Love or Let Me Be Lonely,The Friends of Distinction,1970,203.333
64,United We Stand,The Brotherhood of Man,1970,177.615
65,We've Only Just Begun,The Carpenters,1970,185.16
66,Arizona,Mark Lindsay,1970,188.133
67,Fire and Rain,James Taylor,1970,203.613
68,Groovy Situation,Gene Chandler,1970,193.466
69,Evil Ways,Santana,1970,238.266
70,No Time,The Guess Who,1970,219.426
71,Didn't I (Blow Your Mind This Time),The Delfonics,1970,201.066
72,The Wonder of You,Elvis Presley,1970,153.2
73,Up Around the Bend,Creedence Clearwater Revival,1970,159.172
74,(If You Let Me Make Love To You Then) Why Can't I Touch You?,Ronnie Dyson,1970,203.746
75,I Just Can't Help Believing,B.J. Thomas,1970,177.626
76,It's a Shame,The Spinners,1970,190.058
77,For the Love of Him,Bobbi Martin,1970,87.987
78,Mississippi Queen,Mountain,1970,151.293
79,I Want to Take You Higher,Ike & Tina Turner,1970,172.026
80,The Letter,Joe Cocker,1970,250.626
81,Ma Belle Amie,Tee-Set,1970,194.859
82,The Bells,The Originals,1970,179.373
83,Yellow River,Christie,1970,165.96
84,Somebody's Been Sleeping,100 Proof (Aged in Soul),1970,252.08
85,Vehicle,The Ides of March,1970,178.066
86,Gimme Dat Ding,The Pipkins,1970,134.106
87,Lay a Little Lovin' on Me,Robin McNamara,1970,196.84
88,Up the Ladder to the Roof,The Supremes,1970,191.666
89,Travelin' Band,Creedence Clearwater Revival,1970,127.493
90,Come Saturday Morning,The Sandpipers,1970,185.8
91,Psychedelic Shack,The Temptations,1970,230.293
92,Without Love (There Is Nothing),Tom Jones,1970,212.838
93,Are You Ready?,Pacific Gas & Electric,1970,322.266
94,Woodstock,"Crosby, Stills, Nash & Young",1970,233.773
95,I'll Never Fall in Love Again,Dionne Warwick,1970,174.84
96,Look What They've Done to My Song Ma,The New Seekers,1970,202.906
97,Walk A Mile In My Shoes,Joe South,1970,248.093
98,The Thrill Is Gone,B.B. King,1970,324.733
99,It's Only Make Believe,Glen Campbell,1970,147.48
100,Call Me,Aretha Franklin,1970,237.066
1,Joy to the World,Three Dog Night,1971,220.573
2,"Maggie May""/""Reason to Believe",Rod Stewart,1971,350.146
3,"It's Too Late""/""I Feel the Earth Move",Carole King,1971,258.16
4,One Bad Apple,The Osmonds,1971,164.973
5,How Can You Mend a Broken Heart,Bee Gees,1971,285.373
6,Indian Reservation (The Lament of the Cherokee Reservation Indian),Raiders,1971,171.933
7,Go Away Little Girl,Donny Osmond,1971,150.6
8,"Take Me Home, Country Roads",John Denver,1971,190.16
9,Just My Imagination (Running Away with Me),The Temptations,1971,228.16
10,Knock Three Times,Tony Orlando and Dawn,1971,177.173
11,Me and Bobby McGee,Janis Joplin,1971,271.333
12,Tired of Being Alone,Al Green,1971,172.32
13,Want Ads,Honey Cone,1971,168.28
14,Smiling Faces Sometimes,The Undisputed Truth,1971,198.546
15,Treat Her Like a Lady,Cornelius Brothers & Sister Rose,1971,160.36
16,Brown Sugar,The Rolling Stones,1971,229.173
17,You've Got a Friend,James Taylor,1971,268.706
18,Mr. Big Stuff,Jean Knight,1971,164.56
19,Do You Know What I Mean,Lee Michaels,1971,193.8
20,The Night They Drove Old Dixie Down,Joan Baez,1971,206.066
21,What's Going On,Marvin Gaye,1971,233
22,Uncle Albert/Admiral Halsey,Paul & Linda McCartney,1971,295.146
23,Ain't No Sunshine,Bill Withers,1971,125.093
24,Signs,Five Man Electrical Band,1971,241.693
25,She's a Lady,Tom Jones,1971,174.146
26,I've Found Someone of My Own,The Free Movement,1971,226.514
27,Superstar,Murray Head & The Trinidad Singers,1971,255.831
28,Amos Moses,Jerry Reed,1971,139.226
29,Temptation Eyes,The Grass Roots,1971,159.173
30,Superstar,The Carpenters,1971,231.506
31,My Sweet Lord,George Harrison,1971,281.231
32,Sweet and Innocent,Donny Osmond,1971,182.186
33,Put Your Hand in the Hand,Ocean,1971,176.706
34,Chick-A-Boom (Don't Ya Jes' Love It),Daddy Dewdrop,1971,171.533
35,For All We Know,The Carpenters,1971,158.933
36,If You Could Read My Mind,Gordon Lightfoot,1971,228.84
37,Help Me Make It Through the Night,Sammi Smith,1971,155.533
38,Rainy Days and Mondays,The Carpenters,1971,218.893
39,"Gypsys, Tramps & Thieves",Cher,1971,158
40,Never Can Say Goodbye,The Jackson 5,1971,179.773
41,Rose Garden,Lynn Anderson,1971,175.866
42,Don't Pull Your Love,"Hamilton, Joe Frank & Reynolds",1971,162.026
43,It Don't Come Easy,Ringo Starr,1971,184.333
44,Mr. Bojangles,Nitty Gritty Dirt Band,1971,215.4
45,I Love You for All Seasons,The Fuzz,1971,188.373
46,Whatcha See is Whatcha Get,The Dramatics,1971,214.973
47,That's the Way I've Always Heard It Should Be,Carly Simon,1971,258.133
48,If You Really Love Me,Stevie Wonder,1971,180.533
49,Spanish Harlem,Aretha Franklin,1971,213.56
50,I Don't Know How to Love Him,Helen Reddy,1971,198.866
51,Yo-Yo,The Osmonds,1971,195.786
52,Bridge over Troubled Water,Aretha Franklin,1971,333.933
53,Doesn't Somebody Want to Be Wanted,The Partridge Family,1971,167.733
54,Draggin' the Line,Tommy James,1971,164.866
55,Proud Mary,Ike & Tina Turner,1971,297.613
56,"Beginnings""/""Colour My World",Chicago,1971,414.111
57,Stay Awhile,The Bells,1971,204.333
58,Sweet City Woman,The Stampeders,1971,207.426
59,Me and You and a Dog Named Boo,Lobo,1971,177.933
60,"Another Day""/""Oh Woman, Oh Why",Paul McCartney,1971,291.893
61,If,Bread,1971,155.773
62,Mercy Mercy Me (The Ecology),Marvin Gaye,1971,193.573
63,One Toke Over the Line,Brewer & Shipley,1971,199.293
64,She's Not Just Another Woman,8th Day,1971,186.386
65,Bring the Boys Home,Freda Payne,1971,210.4
66,I Just Want to Celebrate,Rare Earth,1971,217.56
67,Never Ending Song of Love,Delaney & Bonnie & Friends,1971,200.466
68,Easy Loving,Freddie Hart,1971,158.324
69,Liar,Three Dog Night,1971,235.8
70,Stick-Up,Honey Cone,1971,173.2
71,Chirpy Chirpy Cheep Cheep,Mac and Katie Kissoon,1971,164.011
72,(Where Do I Begin?) Love Story,Andy Williams,1971,189.066
73,Wild World,Cat Stevens,1971,200.56
74,"When You're Hot, You're Hot",Jerry Reed,1971,136.56
75,Funky Nassau,The Beginning of the End,1971,186.301
76,If Not for You,Olivia Newton-John,1971,171.24
77,Groove Me,King Floyd,1971,183.266
78,Watching Scotty Grow,Bobby Goldsboro,1971,157.506
79,Woodstock,Matthews Southern Comfort,1971,269.333
80,Amazing Grace,Judy Collins,1971,248.693
81,I Hear You Knocking,Dave Edmunds,1971,170
82,Lonely Days,Bee Gees,1971,225.666
83,Here Comes That Rainy Day Feeling Again,The Fortunes,1971,172.16
84,Won't Get Fooled Again,The Who,1971,511.4
85,Trapped By a Thing Called Love,Denise LaSalle,1971,158.733
86,Mama's Pearl,The Jackson 5,1971,187.133
87,Timothy,The Buoys,1971,165.575
88,I Woke Up In Love This Morning,The Partridge Family,1971,160.573
89,Theme from Shaft,Isaac Hayes,1971,279.2
90,If I Were Your Woman,Gladys Knight & the Pips,1971,194.533
91,I Am...I Said,Neil Diamond,1971,214.946
92,The Wedding Song (There Is Love),Paul Stookey,1971,226.76
93,Don't Knock My Love,Wilson Pickett,1971,136.4
94,Love Her Madly,The Doors,1971,198.466
95,Here Comes the Sun,Richie Havens,1971,254
96,Sweet Mary,Wadsworth Mansion,1971,162.666
97,Right on the Tip of My Tongue,Brenda & the Tabulations,1971,199.8
98,One Less Bell to Answer,The 5th Dimension,1971,210.76
99,Riders on the Storm,The Doors,1971,434.72
100,It's Impossible,Perry Como,1971,197.106
1,The First Time Ever I Saw Your Face,Roberta Flack,1972,260.666
2,Alone Again (Naturally),Gilbert O'Sullivan,1972,221.373
3,American Pie,Don McLean,1972,516.893
4,Without You,Harry Nilsson,1972,201
5,The Candy Man,Sammy Davis Jr.,1972,188.226
6,I Gotcha,Joe Tex,1972,146.8
7,Lean on Me,Bill Withers,1972,258.834
8,"Baby, Don't Get Hooked on Me",Mac Davis,1972,183.933
9,Brand New Key,Melanie,1972,147.04
10,Daddy Don't You Walk So Fast,Wayne Newton,1972,206.333
11,Let's Stay Together,Al Green,1972,199.396
12,Brandy (You're a Fine Girl),Looking Glass,1972,186.826
13,Oh Girl,The Chi-Lites,1972,216.28
14,Nice to Be with You,Gallery,1972,157.162
15,My Ding-a-Ling,Chuck Berry,1972,223.573
16,(If Loving You Is Wrong) I Don't Want to Be Right,Luther Ingram,1972,216.8
17,Heart of Gold,Neil Young,1972,187.11
18,"Betcha by Golly, Wow",The Stylistics,1972,228.333
19,I'll Take You There,The Staple Singers,1972,196.826
20,Ben,Michael Jackson,1972,167.386
21,The Lion Sleeps Tonight,Robert John,1972,151.626
22,Outa-Space,Billy Preston,1972,250.866
23,Slippin' into Darkness,War,1972,227.373
24,Long Cool Woman in a Black Dress,The Hollies,1972,199.2
25,How Do You Do,Mouth & MacNeal,1972,244.133
26,Song Sung Blue,Neil Diamond,1972,185.653
27,A Horse with No Name,America,1972,252.239
28,Popcorn,Hot Butter,1972,151.44
29,Everybody Plays the Fool,The Main Ingredient,1972,202.253
30,Precious and Few,Climax,1972,164.653
31,(Last Night) I Didn't Get to Sleep at All,The 5th Dimension,1972,192.6
32,Nights in White Satin,The Moody Blues,1972,269.106
33,Go All the Way,Raspberries,1972,205.346
34,Too Late to Turn Back Now,Cornelius Brothers & Sister Rose,1972,198.693
35,Back Stabbers,The O'Jays,1972,186.093
36,Down by the Lazy River,The Osmonds,1972,163.093
37,Sunshine,Jonathan Edwards,1972,138.733
38,Starting All Over Again,Mel and Tim,1972,168.893
39,Day After Day,Badfinger,1972,191.053
40,Rocket Man,Elton John,1972,281.613
41,Rockin' Robin,Michael Jackson,1972,154.84
42,Beautiful Sunday,Daniel Boone,1972,185.346
43,Scorpio,Dennis Coffey,1972,263.229
44,Morning Has Broken,Cat Stevens,1972,200.733
45,City of New Orleans,Arlo Guthrie,1972,274.506
46,Garden Party,Ricky Nelson,1972,229.8
47,I Can See Clearly Now,Johnny Nash,1972,166.933
48,Burning Love,Elvis Presley,1972,170.293
49,Clean Up Woman,Betty Wright,1972,169.533
50,Hold Your Head Up,Argent,1972,377.56
51,Jungle Fever,The Chakachas,1972,263.013
52,Everything I Own,Bread,1972,187
53,In the Rain,The Dramatics,1972,209.213
54,Look What You Done for Me,Al Green,1972,186.333
55,The Happiest Girl in the Whole U.S.A.,Donna Fargo,1972,151.306
56,Bang a Gong (Get it On),T. Rex,1972,267
57,Mother and Child Reunion,Paul Simon,1972,187.4
58,Where Is the Love,Roberta Flack & Donny Hathaway,1972,163.453
59,I'm Still in Love with You,Al Green,1972,307.062
60,Layla,Derek and the Dominos,1972,423.84
61,Day Dreaming,Aretha Franklin,1972,239.96
62,The Way of Love,Cher,1972,152.493
63,Black and White,Three Dog Night,1972,206.08
64,Ring Ring,ABBA,1972,184.733
65,Hurting Each Other,The Carpenters,1972,168.533
66,Coconut,Harry Nilsson,1972,231.733
67,Puppy Love,Donny Osmond,1972,184.973
68,You Don't Mess Around with Jim,Jim Croce,1972,182.533
69,Hot Rod Lincoln,Commander Cody and His Lost Planet Airmen,1972,164.933
70,A Cowboy's Work Is Never Done,Sonny & Cher,1972,195.626
71,Joy,Apollo 100,1972,170.282
72,Anticipation,Carly Simon,1972,201.706
73,Never Been to Spain,Three Dog Night,1972,226.066
74,Kiss an Angel Good Mornin',Charley Pride,1972,123.466
75,School's Out,Alice Cooper,1972,210.106
76,Saturday in the Park,Chicago,1972,235.666
77,Drowning in the Sea of Love,Joe Simon,1972,203.106
78,Use Me,Bill Withers,1972,228.326
79,Family Affair,Sly & the Family Stone,1972,185.533
80,Troglodyte (Cave Man),The Jimmy Castor Bunch,1972,217.933
81,The Witch Queen of New Orleans,Redbone,1972,165.093
82,Freddie's Dead,Curtis Mayfield,1972,328.333
83,Power of Love,Joe Simon,1972,174.635
84,Ain't Understanding Mellow,Jerry Butler & Brenda Lee Eager,1972,260.333
85,Taxi,Harry Chapin,1972,402.84
86,Don't Say You Don't Remember,Beverly Bremers,1972,203.05
87,Sealed with a Kiss,Bobby Vinton,1972,169.066
88,I Saw the Light,Todd Rundgren,1972,182.8
89,Motorcycle Mama,Sailcat,1972,126.573
90,Day by Day,Original Cast of Godspell,1972,194.466
91,Roundabout,Yes,1972,512.386
92,Doctor My Eyes,Jackson Browne,1972,197.427
93,I'd Like to Teach the World to Sing (In Perfect Harmony),The New Seekers,1972,145.466
94,Vincent,Don McLean,1972,243.493
95,Baby Let Me Take You (In My Arms),The Detroit Emeralds,1972,230.368
96,Speak to the Sky,Rick Springfield,1972,162.986
97,I'd Like to Teach the World to Sing (In Perfect Harmony),The Hillside Singers,1972,136.341
98,Walkin' in the Rain with the One I Love,Love Unlimited,1972,287.933
99,Get on the Good Foot,James Brown,1972,209.906
100,Pop That Thang,The Isley Brothers,1972,172.76
1,Tie a Yellow Ribbon Round the Ole Oak Tree,Tony Orlando and Dawn,1973,201.174
2,"Bad, Bad Leroy Brown",Jim Croce,1973,179.466
3,Killing Me Softly with His Song,Roberta Flack,1973,286.92
4,Let's Get It On,Marvin Gaye,1973,293.767
5,My Love,Paul McCartney & Wings,1973,247.733
6,Why Me,Kris Kristofferson,1973,206.96
7,Crocodile Rock,Elton John,1973,235.44
8,Will It Go Round in Circles,Billy Preston,1973,267
9,You're So Vain,Carly Simon,1973,258.411
10,Touch Me in the Morning,Diana Ross,1973,207.413
11,The Night the Lights Went Out in Georgia,Vicki Lawrence,1973,220.52
12,Playground in My Mind,Clint Holmes,1973,172.746
13,Brother Louie,Stories,1973,235.8
14,Delta Dawn,Helen Reddy,1973,190.506
15,Me and Mrs. Jones,Billy Paul,1973,284.906
16,Frankenstein,The Edgar Winter Group,1973,284.293
17,Drift Away,Dobie Gray,1973,234.493
18,Little Willy,Sweet,1973,192.293
19,You Are the Sunshine of My Life,Stevie Wonder,1973,178.2
20,Half-Breed,Cher,1973,167.533
21,That Lady,The Isley Brothers,1973,334.386
22,Pillow Talk,Sylvia Robinson,1973,116.823
23,We're an American Band,Grand Funk Railroad,1973,207.093
24,Right Place Wrong Time,Dr. John,1973,175.24
25,Wildflower,Skylark,1973,250.4
26,Superstition,Stevie Wonder,1973,266.133
27,Loves Me Like a Rock,Paul Simon,1973,213.453
28,The Morning After,Maureen McGovern,1973,141.72
29,Rocky Mountain High,John Denver,1973,283.64
30,Stuck in the Middle with You,Stealers Wheel,1973,208.946
31,Shambala,Three Dog Night,1973,202.333
32,Love Train,The O'Jays,1973,178.4
33,I'm Gonna Love You Just a Little More Baby,Barry White,1973,431.506
34,"Say, Has Anybody Seen My Sweet Gypsy Rose",Tony Orlando and Dawn,1973,165.666
35,Keep on Truckin',Eddie Kendricks,1973,479.413
36,Danny's Song,Anne Murray,1973,188.293
37,Dancing in the Moonlight,King Harvest,1973,181.133
38,Monster Mash,Bobby 'Boris' Pickett,1973,192.04
39,Natural High,Bloodstone,1973,240.466
40,Diamond Girl,Seals and Crofts,1973,253.4
41,Long Train Runnin',The Doobie Brothers,1973,207.266
42,Give Me Love (Give Me Peace on Earth),George Harrison,1973,215.701
43,If You Want Me to Stay,Sly & the Family Stone,1973,180.493
44,Daddy's Home,Jermaine Jackson,1973,184.6
45,Neither One of Us (Wants to Be the First to Say Goodbye),Gladys Knight & the Pips,1973,264.266
46,I'm Doin' Fine Now,New York City,1973,171.173
47,Could It Be I'm Falling in Love,The Spinners,1973,249.733
48,Daniel,Elton John,1973,234.666
49,Midnight Train to Georgia,Gladys Knight & the Pips,1973,279.333
50,Smoke on the Water,Deep Purple,1973,342.173
51,The Cover of the Rolling Stone,Dr. Hook & The Medicine Show,1973,172.493
52,Behind Closed Doors,Charlie Rich,1973,174.826
53,Your Mama Don't Dance,Loggins and Messina,1973,167.52
54,Feelin' Stronger Every Day,Chicago,1973,256.773
55,The Cisco Kid,War,1973,267.693
56,Live and Let Die,Paul McCartney & Wings,1973,192.773
57,Ring Ring,ABBA,1973,184.733
58,I Believe in You (You Believe in Me),Johnnie Taylor,1973,307.24
59,Sing,The Carpenters,1973,198.76
60,Ain't No Woman (Like the One I've Got),The Four Tops,1973,187.773
61,Dueling Banjos,Eric Weissberg & Steve Mandell,1973,194.879
62,Higher Ground,Stevie Wonder,1973,222.6
63,Here I Am (Come and Take Me),Al Green,1973,256.693
64,My Maria,B.W. Stevenson,1973,152
65,Superfly,Curtis Mayfield,1973,233.6
66,Last Song,Edward Bear,1973,195.12
67,Get Down,Gilbert O'Sullivan,1973,164.84
68,Reelin' in the Years,Steely Dan,1973,277.467
69,Hocus Pocus,Focus,1973,402.866
70,Yesterday Once More,The Carpenters,1973,233.533
71,Boogie Woogie Bugle Boy,Bette Midler,1973,137.173
72,Clair,Gilbert O'Sullivan,1973,182.066
73,Do It Again,Steely Dan,1973,357.041
74,Kodachrome,Paul Simon,1973,215.4
75,Why Can't We Live Together,Timmy Thomas,1973,277.973
76,Do You Wanna Dance?,Bette Midler,1973,842.026
77,So Very Hard to Go,Tower of Power,1973,217.24
78,Rockin' Pneumonia and the Boogie Woogie Flu,Johnny Rivers,1973,210.133
79,Ramblin' Man,The Allman Brothers Band,1973,288.506
80,Masterpiece,The Temptations,1973,830.4
81,Peaceful,Helen Reddy,1973,173.986
82,One of a Kind (Love Affair),The Spinners,1973,214.146
83,Funny Face,Donna Fargo,1973,166.36
84,Funky Worm,Ohio Players,1973,161.023
85,Angie,The Rolling Stones,1973,272
86,Jambalaya (On the Bayou),Blue Ridge Rangers,1973,197.76
87,Don't Expect Me to Be Your Friend,Lobo,1973,217.906
88,Break Up to Make Up,The Stylistics,1973,239.84
89,Daisy a Day,Jud Strunk,1973,169.333
90,Also Sprach Zarathustra (2001),Deodato,1973,239.906
91,Stir It Up,Johnny Nash,1973,182.466
92,Money,Pink Floyd,1973,382.834
93,Gypsy Man,War,1973,323.626
94,The World Is a Ghetto,War,1973,244.36
95,Yes We Can Can,The Pointer Sisters,1973,362.733
96,Free Ride,The Edgar Winter Group,1973,187.173
97,Space Oddity,David Bowie,1973,318.026
98,It Never Rains in Southern California,Albert Hammond,1973,233.506
99,The Twelfth of Never,Donny Osmond,1973,161.706
100,Papa Was a Rollin' Stone,The Temptations,1973,704.826
1,The Way We Were,Barbra Streisand,1974,211.093
2,Seasons in the Sun,Terry Jacks,1974,208.853
3,Love's Theme,Love Unlimited Orchestra,1974,246.266
4,Come and Get Your Love,Redbone,1974,205.933
5,Dancing Machine,The Jackson 5,1974,161.813
6,The Loco-Motion,Grand Funk Railroad,1974,166.813
7,TSOP (The Sound of Philadelphia),MFSB,1974,222.346
8,The Streak,Ray Stevens,1974,197.733
9,Bennie and the Jets,Elton John,1974,320.466
10,One Hell of a Woman,Mac Davis,1974,171.96
11,Until You Come Back to Me (That's What I'm Gonna Do),Aretha Franklin,1974,208.466
12,Jungle Boogie,Kool & the Gang,1974,186.533
13,Midnight at the Oasis,Maria Muldaur,1974,229.506
14,You Make Me Feel Brand New,The Stylistics,1974,288.44
15,Show and Tell,Al Wilson,1974,209.98
16,Spiders and Snakes,Jim Stafford,1974,188.64
17,Rock On,David Essex,1974,204.186
18,Sunshine on My Shoulders,John Denver,1974,311.893
19,Sideshow,Blue Magic,1974,251.52
20,Hooked on a Feeling,Blue Swede,1974,172.866
21,Billy Don't Be a Hero,Bo Donaldson and The Heywoods,1974,205.866
22,Band on the Run,Paul McCartney and Wings,1974,313.026
23,The Most Beautiful Girl,Charlie Rich,1974,161.906
24,Time in a Bottle,Jim Croce,1974,148.586
25,Annie's Song,John Denver,1974,180.693
26,Let Me Be There,Olivia Newton-John,1974,181.733
27,Sundown,Gordon Lightfoot,1974,213.4
28,(You're) Having My Baby,Paul Anka,1974,156.293
29,Rock Me Gently,Andy Kim,1974,208.333
30,Boogie Down,Eddie Kendricks,1974,233.066
31,You're Sixteen,Ringo Starr,1974,169.693
32,If You Love Me (Let Me Know),Olivia Newton-John,1974,196.266
33,Dark Lady,Cher,1974,206.466
34,Best Thing That Ever Happened to Me,Gladys Knight & the Pips,1974,224.986
35,Feel Like Makin' Love,Roberta Flack,1974,175.4
36,Just Don't Want to Be Lonely,The Main Ingredient,1974,213.186
37,Nothing from Nothing,Billy Preston,1974,156.2
38,Rock Your Baby,George McCrae,1974,384
39,Top of the World,The Carpenters,1974,179.173
40,The Joker,Steve Miller Band,1974,264.503
41,I've Got to Use My Imagination,Gladys Knight & the Pips,1974,210.48
42,The Show Must Go On,Three Dog Night,1974,228.266
43,Rock the Boat,The Hues Corporation,1974,202.573
44,Smokin' in the Boys Room,Brownsville Station,1974,176.453
45,Living for the City,Stevie Wonder,1974,219.306
46,Then Came You,Dionne Warwick & The Spinners,1974,237.453
47,The Night Chicago Died,Paper Lace,1974,212.574
48,The Entertainer,Marvin Hamlisch,1974,183.36
49,Waterloo,ABBA,1974,168.96
50,The Air That I Breathe,The Hollies,1974,249.666
51,Rikki Don't Lose That Number,Steely Dan,1974,272.946
52,Mockingbird,Carly Simon & James Taylor,1974,254.24
53,Help Me,Joni Mitchell,1974,204.186
54,You Won't See Me,Anne Murray,1974,246.4
55,"Never, Never Gonna Give You Up",Barry White,1974,202.245
56,Tell Me Something Good,Rufus & Chaka Khan,1974,277.066
57,You and Me Against the World,Helen Reddy,1974,191.706
58,Rock and Roll Heaven,The Righteous Brothers,1974,211.866
59,Hollywood Swinging,Kool & the Gang,1974,279.933
60,Be Thankful for What You Got,William DeVaughn,1974,206.12
61,Hang on in There Baby,Johnny Bristol,1974,233.72
62,Eres tíº,Mocedades,1974,214.573
63,Takin' Care of Business,Bachman-Turner Overdrive,1974,289.893
64,Radar Love,Golden Earring,1974,386.706
65,Please Come to Boston,Dave Loggins,1974,246.08
66,Keep on Smilin',Wet Willie,1974,237.333
67,Lookin' for a Love,Bobby Womack,1974,153.653
68,Put Your Hands Together,The O'Jays,1974,247.066
69,On and On,Gladys Knight & the Pips,1974,264.266
70,Oh Very Young,Cat Stevens,1974,156.773
71,Leave Me Alone (Ruby Red Dress),Helen Reddy,1974,207.533
72,Goodbye Yellow Brick Road,Elton John,1974,192.826
73,(I've Been) Searchin' So Long,Chicago,1974,268.426
74,Oh My My,Ringo Starr,1974,259.373
75,For the Love of Money,The O'Jays,1974,439.866
76,I Shot the Sheriff,Eric Clapton,1974,263.746
77,Jet,Paul McCartney and Wings,1974,248.36
78,Don't Let the Sun Go Down on Me,Elton John,1974,347.666
79,Tubular Bells,Mike Oldfield,1974,1561.133
80,A Love Song,Anne Murray,1974,169.493
81,I'm Leaving It Up to You,Donny and Marie Osmond,1974,173.013
82,Hello It's Me,Todd Rundgren,1974,264.093
83,I Love,Tom T. Hall,1974,126.666
84,Clap for the Wolfman,The Guess Who featuring Wolfman Jack,1974,349.066
85,I'll Have to Say I Love You in a Song,Jim Croce,1974,154.626
86,The Lord's Prayer,Sister Janet Mead,1974,186
87,Trying to Hold on to My Woman,Lamont Dozier,1974,358.214
88,Don't You Worry 'bout a Thing,Stevie Wonder,1974,284.84
89,A Very Special Love Song,Charlie Rich,1974,164.733
90,My Girl Bill,Jim Stafford,1974,192.866
91,Helen Wheels,Paul McCartney and Wings,1974,227.533
92,My Mistake (Was to Love You),Diana Ross & Marvin Gaye,1974,180.653
93,Wildwood Weed,Jim Stafford,1974,160.84
94,Beach Baby,The First Class,1974,293.453
95,Me and Baby Brother,War,1974,207.333
96,Rockin' Roll Baby,The Stylistics,1974,288.44
97,I Honestly Love You,Olivia Newton-John,1974,246.146
98,Call on Me,Chicago,1974,242.653
99,Wild Thing,Fancy,1974,177.44
100,Mighty Love,The Spinners,1974,196.653
1,Love Will Keep Us Together,Captain & Tennille,1975,205.493
2,Rhinestone Cowboy,Glen Campbell,1975,194.453
3,Philadelphia Freedom,Elton John,1975,324.573
4,Before the Next Teardrop Falls,Freddy Fender,1975,149.951
5,My Eyes Adored You,Frankie Valli,1975,212.013
6,Some Kind of Wonderful,Grand Funk Railroad,1975,203.253
7,Shining Star,"Earth, Wind & Fire",1975,170.16
8,Fame,David Bowie,1975,261.373
9,Laughter in the Rain,Neil Sedaka,1975,170.066
10,One of These Nights,Eagles,1975,291.685
11,Thank God I'm a Country Boy,John Denver,1975,193.093
12,Jive Talkin',Bee Gees,1975,222.266
13,Best of My Love,Eagles,1975,274.891
14,Lovin' You,Minnie Riperton,1975,223.143
15,Kung Fu Fighting,Carl Douglas,1975,197.935
16,Black Water,The Doobie Brothers,1975,255.266
17,The Ballroom Blitz,Sweet,1975,246.573
18,(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,B.J. Thomas,1975,206.066
19,He Don't Love You (Like I Love You),Tony Orlando and Dawn,1975,219.946
20,At Seventeen,Janis Ian,1975,283.88
21,Pick Up the Pieces,Average White Band,1975,239.908
22,The Hustle,Van McCoy & the Soul City Symphony,1975,152.307
23,Lady Marmalade,Labelle,1975,237.12
